fish_id,Trial,Genotype,Dist_travelled_total.x,Dist_travelled_mean.x,Dist_travelled_var.x,Velocity_mean.x,Velocity_var.x,Time_moving_total.x,Freq_moving.x,Acceleration_max.x,Acceleration_min.x,Acceleration_var.x,Freq_in_middle.x,Time_in_middle_total.x,Time_in_middle_mean.x,Time_in_middle_var.x,Dist_to_middle_total.x,Dist_to_middle_mean.x,Dist_to_middle_var.x,Mobility_total.x,Mobility_mean.x,Mobility_var.x,Meander_total.x,Meander_mean.x,Meander_var.x,Heading_mean.x,Heading_var.x,Dist_travelled_total.y,Dist_travelled_mean.y,Dist_travelled_var.y,Velocity_mean.y,Velocity_var.y,Time_moving_total.y,Freq_moving.y,Acceleration_max.y,Acceleration_min.y,Acceleration_var.y,Freq_in_middle.y,Time_in_middle_total.y,Time_in_middle_mean.y,Time_in_middle_var.y,Dist_to_middle_total.y,Dist_to_middle_mean.y,Dist_to_middle_var.y,Mobility_total.y,Mobility_mean.y,Mobility_var.y,Meander_total.y,Meander_mean.y,Meander_var.y,Heading_mean.y,Heading_var.y
1.2-6.10,1,wt,126.01263333333333,0.08400843333333333,0.06127113333333333,2.10021,38.294466666666665,28.013333333333332,41.333333333333336,1776.1866666666667,-1114.1750000000002,20735.666666666668,3,5.946666666666667,2.0544433333333334,3.6172866666666668,2989.9266666666667,1.9932800000000002,1.0093763333333334,9073.363333333333,6.0489033333333335,276.3993333333333,4841.446666666667,42.3937,12824.853333333334,82.33133333333333,3044.016666666667,114.29013333333333,0.0762198,0.038984333333333336,1.9054900000000001,24.365233333333332,28.4,35.666666666666664,1025.853,-693.6659999999999,16085.933333333332,3,9.106666666666667,1.78889,2.4132433333333334,3004.496666666667,2.0034246666666666,0.7347551666666667,8292.256666666666,5.53012,204.77633333333333,6892.3499999999995,56.765699999999995,17145.466666666667,117.2141,2936.133333333333
1.2-6.10,4,wt,34.418765,0.022948912000000002,0.015482899666666666,0.5737229666666667,9.6768078,7.146666666666667,12.333333333333334,621.3316666666666,-534.8463333333333,4942.976333333334,1.3333333333333333,7.8933333333333335,4.08889,2.70631,3379.833333333333,2.2537533333333335,0.8974798766666667,2684.2484666666664,1.7897390666666666,91.83642,716.2796666666667,27.84466666666667,904.5236666666667,99.41726666666666,2639.88,86.31873333333333,0.057593366666666666,0.030638033333333335,1.4398333333333333,19.1488,19.786666666666665,29.333333333333332,854.834,-620.6746666666667,11390.266666666666,3,10.746666666666666,3.8853333333333335,23.442833333333333,2785.5099999999998,1.8579866666666667,1.30679,6626.98,4.421736666666667,193.06166666666667,5685.59,60.836166666666664,16187.6,100.12683333333334,2852.51
1.2-6.10,7,wt,3.2739103333333333,0.0021826046666666666,0.0011424020333333333,0.054565293333333334,0.714,0.38666666666666666,0.3333333333333333,454.46233333333333,-336.23400000000004,569.0776666666667,0,0,0,0,3013.9456666666665,2.009297,0.38319711,217.35093333333336,0.14490053333333333,5.689630999999999,224.46266666666668,28.0578,3240.0066666666667,86.6504,1111.4054,69.26143333333333,0.0461974,0.024230266666666667,1.1549333333333334,15.143933333333333,16.346666666666668,23.666666666666668,1045.5543333333333,-890.3843333333333,9806.003333333334,4.333333333333333,17.106666666666666,4.065556666666667,8.378056666666666,1739.6866666666667,1.1600066666666666,1.3080033333333334,5287.886666666667,3.5270166666666665,142.64333333333335,4412.6033333333335,56.97273333333333,11274.773333333333,96.86677030000001,2995.4833333333336
1.2-6.10,10,wt,0.371272,2.47845e-4,6.1992e-5,0.00619615,0.03874505,0,0,87.0315,-87.0315,48.55975,0,0,0,0,4525.66,3.0181,0.0053247500002341994,10.09065,0.0067361,0.04794185,0,0,0,60.9795,15.67215,49.3817,0.032934033333333335,0.014485466666666667,0.823349,9.053423333333335,9.333333333333334,17,620.257,-540.0013333333334,6404.7,2.3333333333333335,22.466666666666665,8.326666666666666,28.202566666666666,1531.72,1.021563,0.8993046666666666,3889.7,2.5941199999999998,104.3717,2513.133333333333,50.8551,6060.0233333333335,115.1981,2830.1766666666667
10.2-6.10,1,hom,6.717362666666667,0.004478240666666667,0.0017973149999999999,0.11195603333333334,1.1233231666666668,1.0533333333333335,2,370.7146666666667,-394.2366666666667,884.3487666666666,0,0,0,0,3360.2200000000003,2.2401466666666665,0.41017797266666667,551.9121666666666,0.3679404333333333,15.736109,575.7633333333333,31.986766666666668,7697.566666666667,80.7002,2618.5533333333333,88.00216666666667,0.058700433333333336,0.0323516,1.46751,20.219766666666665,20.52,29,978.2276666666667,-858.0006666666667,13641.72,2.3333333333333335,9.533333333333333,1.9866666666666666,6.966399999999999,2786.6633333333334,1.858317,0.9259376666666668,6340.786666666667,4.22941,173.48966666666666,8872.403333333334,92.17226666666666,29601.13333333333,72.1819,3100.076666666667
10.2-6.10,4,hom,3.928402666666667,0.002619645,7.630055e-4,0.06549124333333334,0.4768769333333333,0,0,234.83966666666666,-227.12433333333334,470.7536,0,0,0,0,3117.9766666666665,2.0791233333333334,0.14257725023333334,249.22660000000002,0.1661933,4.069589,256.485,146.88186666666667,572.3766666666667,37.082103333333336,1978.07,91.37453333333333,0.06096646666666667,0.033993133333333335,1.52416,21.2457,22.56,30,1013.8246666666666,-710.675,15602.266666666666,3.6666666666666665,6.466666666666667,1.4972233333333334,3.4852733333333332,3030.4666666666667,2.021176666666667,0.9953816666666666,6341.203333333334,4.23096,167.24433333333334,6154.943333333334,70.40313333333333,24481.41,120.81333333333333,3006.603333333333
10.2-6.10,7,hom,0.38012333333333337,2.534153333333333e-4,7.732e-5,0.006335400000000001,0.048325,0,0,86.61133333333333,-54.655,41.60933333333333,0,0,0,0,2099.26,1.39951,0.047780666666666666,37.848,0.025232033333333334,1.6194333333333333,78.651,78.651,0,30.39616666666667,149.94433333333333,31.894550000000002,0.021277650000000002,0.00887548,0.531941,5.547175,4.859999999999999,9.5,550.8045,-496.3965,4507.8,2,23.82,11.91,8.097999999999999,1375.0149999999999,0.9169295,1.205025,2312.1099999999997,1.542425,52.0386,1229.6925,41.5701,11423.358499999998,63.37025,2397.9700000000003
10.2-6.10,10,hom,0.93159,6.2106e-4,1.45607e-4,0.01552645,0.0910045,0,0,86.212,-86.212,99,0,0,0,0,4203.975,2.803575,0.00172928,68.2485,0.0454989,1.484185,49.0402,49.0402,0,69.9905,977.31,119.86193333333334,0.0799208,0.03987296666666667,1.9980183333333332,24.920593333333333,27.373333333333335,25.333333333333332,977.4623333333334,-687.361,17213.576666666668,1.6666666666666667,13.16,7.38,33.63013333333333,3032.1233333333334,2.0217566666666666,1.6053466666666667,8045.536666666667,5.364633333333334,182.98053333333334,9644.65,69.66543333333334,22760.63333333333,117.2354,3146.4733333333334
11.2-6.10,1,hom,1.3890666666666667,9.260466666666667e-4,2.48427e-4,0.023151133333333334,0.155267,0.12,0.3333333333333333,141.362,-133.67066666666668,150.54233333333335,0,0,0,0,2671.44,1.7809566666666667,0.07268133333333333,91.99633333333334,0.061330866666666664,1.7118033333333333,71.15976666666667,49.30833333333333,336.7966666666667,26.0049,509.4273333333333,39.4801,0.026336066666666668,0.013455680000000001,0.6584023333333333,8.409786666666667,10.68,19,798.271,-471.49899999999997,4251.903333333334,4.666666666666667,37.29333333333334,12.397903333333334,76.93278666666667,771.8263333333333,0.5147976666666666,0.438426,3092.2033333333334,2.0627766666666667,90.46703333333333,2063.268,37.81296666666667,4232.136666666666,105.73559999999999,2996.866666666667
11.2-6.10,4,hom,0.38147233333333336,2.5450533333333335e-4,5.91937e-5,0.0063626333333333335,0.03699606666666667,0,0,107.359,-107.359,46.338166666666666,0,0,0,0,4879.513333333333,3.2537166666666666,0.0032966733333333336,14.241633333333333,0.009503233333333333,0.13078420000000002,0,0,0,87.36,348.9506666666666,9.142792,0.006102443666666666,0.0029815015333333333,0.15256108666666665,1.8634376333333333,1.8533333333333333,3.6666666666666665,456.1753333333333,-320.937,1176.2685333333334,0.3333333333333333,0.4666666666666666,0.4666666666666666,0,2922.032333333333,1.948239,0.39796479500000004,629.27166,0.42001799666666667,17.926902036666668,335.59700000000004,26.427300000000002,3196.676,71.28666666666666,1671.8866666666665
